Filename,Movie,Link,Start,End,Duration,Character,Emotion,confidence
0h17m21s_seg0171.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:17:21,00:17:25,4.5,Nữ,anxiety,"0,376175"
0h17m33s_seg0175.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:17:33,00:17:36,3.91,Nữ,anxiety,"0,448435"
0h17m41s_seg0177_part1.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:17:41,00:17:45,4.0,Nữ,anxiety,"0,473499"
0h20m57s_seg0219.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:20:57,00:21:00,3.55,Nữ,anger,"0,657266"
0h21m23s_seg0225.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:21:23,00:21:26,3.72,Nam,anger,"0,535585"
0h56m29s_seg0642.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:56:29,00:56:33,4.1,Nữ,sadness,"0,693909"
0h56m38s_seg0646.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:56:38,00:56:41,3.21,Nam,sadness,"0,480607"
0h56m56s_seg0650.wav,Phim Ma Việt Nam . Bắc Kim Thang,,00:56:56,00:56:59,3.4,Nữ,sadness,"0,694385"
1h01m51s_seg0746.wav,Phim Ma Việt Nam . Bắc Kim Thang,,01:01:51,01:01:55,4.28,Nữ,anger,"0,678928"
1h16m16s_seg0939_part1.wav,Phim Ma Việt Nam . Bắc Kim Thang,,01:16:16,01:16:20,4.0,Nữ,sadness,"0,60277"
1h16m31s_seg0942.wav,Phim Ma Việt Nam . Bắc Kim Thang,,01:16:31,01:16:34,3.79,Nam,sadness,"0,550455"
1h19m48s_seg0986.wav,Phim Ma Việt Nam . Bắc Kim Thang,,01:19:48,01:19:51,03.05,Nữ,sadness,"0,691556"
