Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h00m00s_seg0000.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:00:00,00:00:03,3.6,Nam,Neutral
0h01m38s_seg0028_part1.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:01:38,00:01:42,4.0,Nam,Neutral
0h02m00s_seg0031_part1.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:02:00,00:02:04,4.0,Nam,Neutral
0h02m22s_seg0040.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:02:22,00:02:25,3.59,Nam,Neutral
0h02m49s_seg0051.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:02:49,00:02:52,3.13,Nam,Anger
0h03m01s_seg0055.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:03:01,00:03:04,3.15,Nam,Neutral
0h03m08s_seg0057.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:03:08,00:03:11,3.43,Nam,Neutral
0h03m23s_seg0063.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:03:23,00:03:26,3.48,Nam,Neutral
0h03m27s_seg0064.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:03:27,00:03:31,4.0,Nam,Neutral
0h03m32s_seg0065.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:03:32,00:03:35,3.79,Nam,Neutral
0h04m02s_seg0073.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:04:02,00:04:06,4.69,Nam,Neutral
0h04m32s_seg0083.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:04:32,00:04:35,3.33,Nam,Anger
0h04m36s_seg0084.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:04:36,00:04:39,3.47,Nam,Anger
0h06m33s_seg0118.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:06:33,00:06:36,3.82,Nam,Neutral
0h06m54s_seg0125.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:06:54,00:06:57,3.91,Nam,Neutral
0h07m05s_seg0127.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:07:05,00:07:08,3.46,Nam,Neutral
0h07m41s_seg0137.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:07:41,00:07:44,03.08,Nam,Neutral
0h08m07s_seg0145.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:08:07,00:08:10,3.4,Nam,Neutral
0h08m56s_seg0162.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:08:56,00:08:59,3.58,Nam,Neutral
0h09m54s_seg0181.wav,Đắc đạo,https://www.youtube.com/watch?v=A6Gc0aj-5jY,00:09:54,00:09:57,3.27,Nam,Neutral
