Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h00m09s_seg0000_part1.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:00:09,00:00:13,4.0,Nữ,Neutral
0h08m45s_seg0126.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:08:45,00:08:48,3.38,Nam,Neutral
0h08m55s_seg0130.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:08:55,00:08:58,3.51,Nam,Neutral
0h09m08s_seg0135_part1.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:09:08,00:09:12,4.0,Nam,Neutral
0h09m23s_seg0139.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:09:23,00:09:26,3.39,Nam,Neutral
0h09m50s_seg0148_part1.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:09:50,00:09:54,4.0,Nữ,Anger
0h09m50s_seg0148_part2.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:09:50,00:09:54,4.0,Nữ,Anger
0h10m20s_seg0154.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:10:20,00:10:23,3.38,Nữ,Anger
0h10m26s_seg0155.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:10:26,00:10:29,3.88,Nữ,Anger
0h12m56s_seg0191.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:12:56,00:12:59,3.18,Nam,Neutral
0h13m14s_seg0196.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:13:14,00:13:17,3.82,Nữ,Neutral
0h13m53s_seg0202_part1.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:13:53,00:13:57,4.0,Nữ,Neutral
0h15m48s_seg0224.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:15:48,00:15:52,4.47,Nam,Neutral
0h16m03s_seg0229.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:16:03,00:16:07,4.11,Nam,Neutral
0h16m13s_seg0233.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:16:13,00:16:16,3.51,Nam,Neutral
0h16m42s_seg0241.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:16:42,00:16:45,3.42,Nam,Neutral
0h16m46s_seg0242.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:16:46,00:16:49,03.04,Nam,Neutral
0h17m33s_seg0261.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:17:33,00:17:36,3.3,Nam,Neutral
0h17m56s_seg0269.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:17:56,00:17:59,3.56,Nam,Neutral
0h18m45s_seg0279.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:18:45,00:18:48,3.29,Nữ,Neutral
0h20m20s_seg0295.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:20:20,00:20:23,3.6,Nam,Neutral
0h20m25s_seg0296.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:20:25,00:20:28,3.62,Nam,Neutral
0h21m24s_seg0311.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:21:24,00:21:27,3.19,Nam,Neutral
0h21m47s_seg0315.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:21:47,00:21:51,4.35,Nam,Neutral
0h21m59s_seg0318.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:21:59,00:22:02,3.62,Nam,Neutral
0h24m34s_seg0350.wav,Mê cung,https://www.youtube.com/watch?v=zxPYG_ymyWA,00:24:34,00:24:37,3.13,Nữ,Neutral
