Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h05m40s_seg0062.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:05:40,00:05:43,3.96,Nam,Happiness
0h11m38s_seg0140.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:11:38,00:11:42,04.08,Nam,Happiness
0h12m47s_seg0159.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:12:47,00:12:50,3.23,Nam,Happiness
0h12m52s_seg0160_part2.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:12:52,00:12:54,2.82,Nam,Happiness
0h13m41s_seg0173.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:13:41,00:13:44,3.22,Nam,Happiness
0h14m01s_seg0178_part1.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:14:01,00:14:05,4.0,Nam,Happiness
0h15m52s_seg0198.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:15:52,00:15:56,4.31,Nữ,Neutral
0h24m12s_seg0327.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:24:12,00:24:15,3.22,Nữ,Anxiety
0h24m19s_seg0330.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:24:19,00:24:23,4.32,Nữ,Anxiety
0h28m53s_seg0376.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:28:53,00:28:56,3.17,Nữ,Anger
0h29m20s_seg0386.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:29:20,00:29:23,3.14,Nữ,Anger
0h29m33s_seg0390.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:29:33,00:29:37,4.43,Nữ,Anger
0h29m46s_seg0394.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:29:46,00:29:50,04.04,Nữ,Neutral
0h30m04s_seg0401.wav,Người phán xử,https://www.youtube.com/watch?v=gxjpBg-GaNM,00:30:04,00:30:07,03.08,Nữ,Neutral
