Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h01m04s_seg0012.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:01:04,00:01:08,4.37,Thư,Anger
0h04m45s_seg0049_part1.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:04:45,00:04:49,4.0,Thư,Neutral
0h04m51s_seg0050.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:04:51,00:04:55,04.06,Bố,Neutral
0h05m10s_seg0057_part1.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:05:10,00:05:14,4.0,Bố,Neutral
0h05m10s_seg0057_part2.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:05:10,00:05:14,4.0,Thư,Happiness
0h05m10s_seg0057_part3.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:05:10,00:05:14,4.0,Thư,Happiness
0h05m10s_seg0057_part4.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:05:10,00:05:13,3.3,Bố,Happiness
0h06m32s_seg0078_part1.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:06:32,00:06:36,4.0,Thư,Anxiety
0h06m32s_seg0078_part2.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:06:32,00:06:36,4.0,Thư,Anxiety
0h06m53s_seg0080_part1.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:06:53,00:06:57,4.0,Thư,Neutral
0h07m00s_seg0082_part1.wav,Về nhà đi con phần 2,https://www.youtube.com/watch?v=9Wg4Ypb8Jds,00:07:00,00:07:04,4.0,Mẹ chồng Thư,Neutral
