Filename,Source,Duration (s),Character,,,,Emotion
Copy of Angry_scvmc12-00.16.21.029-00.16.25.280-seg5.wav,VNEMOS,4.78,Nam,,,,Anger
Copy of Angry_scvmc15-00.09.41.333-00.09.43.733-seg1.wav,VNEMOS,2.46,Nữ,,,,Anger
Copy of Angry_scvmc15-00.09.45.505-00.09.52.323-seg2.wav,VNEMOS,10.4,Nữ,,,,Anger
Copy of Angry_scvmc15-00.33.11.861-00.33.18.082-seg8.wav,VNEMOS,8.82,Nữ,,,,Anger
Copy of Angry_scvmc16-00.02.12.124-00.02.17.518-seg1.wav,VNEMOS,6.18,Nữ,,,,Anger
Copy of Angry_scvmc16-00.28.56.600-00.29.03.334-seg2.wav,VNEMOS,6.8,Nữ,,,,Anger
Copy of Angry_scvmc16-00.33.30.273-00.33.35.664-seg3.wav,VNEMOS,8.52,Nữ,,,,Anger
Copy of Angry_scvmc17-00.24.50.801-00.24.58.204-seg1.wav,VNEMOS,8.24,Nữ,,,,Anger
Copy of Angry_scvmc17-00.25.00.160-00.25.07.845-seg2.wav,VNEMOS,7.76,Nữ,,,,Anger
Copy of Angry_scvmc17-00.25.13.318-00.25.16.111-seg3.wav,VNEMOS,3.34,Nữ,,,,Anger
Copy of Angry_scvmc20-00.21.28.509-00.21.35.181-seg1.wav,VNEMOS,10.12,Nữ,,,,Anger
Copy of Angry_scvmc20-00.23.43.360-00.23.50.400-seg2.wav,VNEMOS,7.11,Nam,,,,Anger
Copy of Angry_scvmc20-00.24.07.529-00.24.11.303-seg3.wav,VNEMOS,05.09,Nam,,,,Anger
Copy of Angry_scvmc20-00.31.55.120-00.31.58.467-seg5.wav,VNEMOS,3.41,Nữ,,,,Anger
Copy of Angry_scvmc20-00.33.21.461-00.33.28.131-seg7.wav,VNEMOS,8.71,Nữ,,,,Anger
Copy of Angry_scvmc21-00.01.44.109-00.01.48.253-seg1.wav,VNEMOS,4.69,Nam,,,,Anger
Copy of Angry_scvmc21-00.22.28.106-00.22.31.868-seg2.wav,VNEMOS,5.39,Nam,,,,Anger
Copy of Angry_scvmc21-00.35.08.702-00.35.11.756-seg3.wav,VNEMOS,05.06,Nữ,,,,Anger
Copy of Angry_scvmc22-00.02.18.993-00.02.25.981-seg2.wav,VNEMOS,7.43,Nữ,,,,Anger
Copy of Angry_scvmc23-00.01.54.587-00.02.00.010-seg4.wav,VNEMOS,5.76,Nữ,,,,Anger
Copy of Angry_scvmc25-00.23.10.627-00.23.15.129-seg3.wav,VNEMOS,5.43,Nam,,,,Anger
Copy of Angry_scvmc25-00.25.20.624-00.25.27.245-seg6.wav,VNEMOS,7.5,Nữ,,,,Anger
Copy of Angry_scvmc25-00.25.42.880-00.25.48.543-seg7.wav,VNEMOS,5.74,Nữ,,,,Anger
Copy of Angry_scvmc25-00.26.14.099-00.26.21.199-seg8.wav,VNEMOS,7.87,Nữ,,,,Anger
Copy of Angry_scvmc28-00.34.44.377-00.34.51.363-seg1.wav,VNEMOS,7.55,Nữ,,,,Anger
Copy of AnyConv.com__Angry_mb-00.48.01.823-00.48.07.004-seg1.wav,VNEMOS,6.43,Nam,,,,Anger
Copy of AnyConv.com__Angry_mb-00.48.08.066-00.48.10.228-seg2.wav,VNEMOS,2.39,Nam,,,,Anger
Copy of AnyConv.com__angry_clvb-00.37.09.383-00.37.11.520-seg13.wav,VNEMOS,2.2,Nam,,,,Anger
Copy of AnyConv.com__angry_clvb-00.42.48.642-00.42.51.123-seg16.wav,VNEMOS,2.67,Nam,,,,Anger
Copy of AnyConv.com__angry_gdmvbtl1-00.23.48.503-00.23.53.941-seg1.wav,VNEMOS,8.96,Nam,,,,Anger
Copy of AnyConv.com__angry_gdmvbtl1-00.35.07.260-00.35.13.567-seg2.wav,VNEMOS,6.72,Nam,,,,Anger
Copy of AnyConv.com__angry_gdmvbtl2-00.33.22.981-00.33.25.143.wav,VNEMOS,2.24,Nam,,,,Anger
Copy of AnyConv.com__angry_npx1-00.02.27.000-00.02.31.640-seg1.wav,VNEMOS,4.67,Nam,,,,Anger
Copy of AnyConv.com__angry_npx1-00.02.32.646-00.02.36.781-seg2.wav,VNEMOS,5.16,Nam,,,,Anger
Copy of AnyConv.com__angry_npx1-00.02.37.396-00.02.40.630-seg3.wav,VNEMOS,5.42,Nam,,,,Anger
Copy of AnyConv.com__angry_npx1-00.25.41.440-00.25.43.921-seg4.wav,VNEMOS,2.5,Nam,,,,Anger
Copy of AnyConv.com__angry_npx2-00.06.11.400-00.06.12.543-seg1.wav,VNEMOS,1.15,Nữ,,,,Anger
Copy of AnyConv.com__angry_npx5-00.25.58.858-00.26.02.084-seg4.wav,VNEMOS,3.37,Nam,,,,Anger
Copy of AnyConv.com__fdosa-00.53.41.152-00.53.47.408-anger.wav,VNEMOS,12.42,Nữ,,,,Anger
Copy of AnyConv.com__fdosa-01.02.07.821-01.02.11.314-anger.wav,VNEMOS,6.5,Nữ,,,,Anger
Copy of Phim Xích Lô(1995)-00.40.25.568-00.40.27.984-anger.wav,VNEMOS,4.97,Nam,,,,Anger
Copy of Phim Xích Lô(1995)-00.57.55.724-00.57.57.156-anger.wav,VNEMOS,3.62,Nam,,,,Anger
Copy of angry_vndc1-00.06.55.467-00.07.01.511-seg1.wav,VNEMOS,06.06,Nam,,,,Anger
Copy of angry_vndc1-00.10.18.028-00.10.19.228-seg2.wav,VNEMOS,1.88,Nam,,,,Anger
Copy of angry_vndc1-00.15.28.953-00.15.31.493-seg3.wav,VNEMOS,2.9,Nam,,,,Anger
Copy of angry_vndc1-00.20.01.830-00.20.04.653-seg5.wav,VNEMOS,5.22,Nam,,,,Anger
Copy of angry_vndc1-00.20.10.506-00.20.16.834-seg6.wav,VNEMOS,6.85,Nam,,,,Anger
Copy of angry_vndc8-00.02.40.556-00.02.42.393-seg1.wav,VNEMOS,2.21,Nam,,,,Anger
Copy of fdosa-00.24.53.479-00.24.54.997-anger.wav,VNEMOS,1.64,Nữ,,,,Anger
Copy of fdosa-01.01.57.547-01.01.59.062-anger.wav,VNEMOS,1.5,Nam,,,,Anger
Copy of 10dh ‐ Được tạo bằng Clipchamp.wav,VNEMOS,3.99,Nữ,,,,Anxiety
Copy of 1dh ‐ Được tạo bằng Clipchamp.wav,VNEMOS,04.09,Nam,,,,Anxiety
Copy of 5.wav,VNEMOS,3.55,Nam,,,,Anxiety
"Copy of Chung Cư Ma Ám _ Phim ma rùng rơn, xem hồi hộp-00.39.25.789-00.39.26.487-seg3.wav",VNEMOS,02.07,Nữ,,,,Anxiety
"Copy of Chung Cư Ma Ám _ Phim ma rùng rơn, xem hồi hộp-00.45.37.096-00.45.38.930-seg4.wav",VNEMOS,4.23,Nam,,,,Anxiety
Copy of Copy of Lời thì thầm _ 6 _8123 _ Nữ _ (21 ~ 50).wav,VNEMOS,10.12,Nữ,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 19 _4792 _ Nữ _ (21 ~ 50).wav,VNEMOS,5.46,Nữ,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 20 _17100 _ Nam _ (21 ~ 50).wav,VNEMOS,18.11,Nam,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 23 _5814 _ Nam _ (21 ~ 50).wav,VNEMOS,7.21,Nam,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 32 _3702 _ Nam _ (21 ~ 50).wav,VNEMOS,5.78,Nam,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 61 _3771 _ Nữ _ (21 ~ 50).wav,VNEMOS,4.39,Nữ,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 69 _4383 _ Nam _ (50 ~).wav,VNEMOS,6.95,Nam,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 71 _4953 _ Nữ _ (50 ~).wav,VNEMOS,5.27,Nữ,,,,Anxiety
Copy of Copy of Sống chung với mẹ chồng _ 72 _2110 _ Nam _ (50 ~).wav,VNEMOS,5.25,Nữ,,,,Anxiety
Copy of Copy of Về nhà đi con _ 30 _1615 _ Nam _ (21 ~ 50).wav,VNEMOS,2.24,Nam,,,,Anxiety
Copy of Copy of Về nhà đi con _ 48 _4120 _ Nữ _ (21 ~ 50).wav,VNEMOS,5.5,Nữ,,,,Anxiety
Copy of Copy of Về nhà đi con _ 6 _4549 _ Nam _ (21 ~ 50).wav,VNEMOS,6.15,Nam,,,,Anxiety
Copy of Copy of Về nhà đi con _ 67 _7444 _ Nữ _ (50 ~).wav,VNEMOS,14.27,Nữ,,,,Anxiety
Copy of Copy of Về nhà đi con _ 69 _4900 _ Nữ _ (50 ~).wav,VNEMOS,5.5,Nữ,,,,Anxiety
Copy of Video chưa đặt tên ‐ Được tạo bằng Clipchamp.wav,VNEMOS,4.37,Nữ,,,,Anxiety
Copy of fdosa-00.18.45.696-00.18.49.396-seg02.wav,VNEMOS,4.48,Nữ,,,,Anxiety
Copy of fdosa-00.23.31.696-00.23.33.977-seg03.wav,VNEMOS,4.78,Nữ,,,,Anxiety
Copy of fdosa-00.37.53.424-00.38.01.085-seg06.wav,VNEMOS,11.45,Nữ,,,,Anxiety
Copy of fdosa-00.39.25.072-00.39.26.843-seg09.wav,VNEMOS,4.37,Nam,,,,Anxiety
Copy of fdosa-00.41.05.060-00.41.08.980-seg11.wav,VNEMOS,04.06,Nữ,,,,Anxiety
Copy of fdosa-00.55.40.202-00.55.48.670-seg15.wav,VNEMOS,12.79,Nữ,,,,Anxiety
Copy of fdosa-00.56.42.087-00.56.45.100-seg16.wav,VNEMOS,3.37,Nữ,,,,Anxiety
Copy of fdosa-01.06.48.077-01.06.51.482-seg19.wav,VNEMOS,8.1,Nam,,,,Anxiety
Copy of fdosa-01.11.27.931-01.11.30.545-seg21.wav,VNEMOS,3.65,Nữ,,,,Anxiety
Copy of fdosa-01.11.32.038-01.11.34.080-seg22.wav,VNEMOS,2.55,Nữ,,,,Anxiety
Copy of fdosa-01.11.44.608-01.11.49.067-seg24.wav,VNEMOS,4.64,Nữ,,,,Anxiety
Copy of fdosa-01.13.08.662-01.13.11.030-seg25.wav,VNEMOS,3.41,Nữ,,,,Anxiety
Copy of fdosa-01.13.46.343-01.13.48.077-seg26.wav,VNEMOS,2.39,Nữ,,,,Anxiety
Copy of fdosa-01.19.56.560-01.19.58.241-seg27.wav,VNEMOS,2.37,Nam,,,,Anxiety
Copy of fdosa-01.25.25.576-01.25.28.513-seg28.wav,VNEMOS,3.67,Nữ,,,,Anxiety
Copy of nmhb_1.wav,VNEMOS,8.48,Nữ,,,,Anxiety
Copy of npx_1.1 - Made with Clipchamp.wav,VNEMOS,02.09,Nam,,,,Anxiety
Copy of npx_2.1 - Made with Clipchamp.wav,VNEMOS,4.83,Nam,,,,Anxiety
Copy of npx_2.2 - Made with Clipchamp.wav,VNEMOS,18.83,Nam,,,,Anxiety
Copy of npx_2.3 - Made with Clipchamp .wav,VNEMOS,9.68,Nam,,,,Anxiety
Copy of npx_2.4 - Made with Clipchamp.wav,VNEMOS,05.02,Nam,,,,Anxiety
Copy of npx_2.5 - Made with Clipchamp.wav,VNEMOS,7.92,Nam,,,,Anxiety
Copy of 1 - t5.wav,VNEMOS,15.12,Nam,,,,Happiness
Copy of 1(1).wav,VNEMOS,5.53,Nam,,,,Happiness
Copy of 1.wav,VNEMOS,9.5,Nam,,,,Happiness
Copy of 2.wav,VNEMOS,12.52,Nữ,,,,Happiness
Copy of CCNA 00.05.47.26 - 00.05.53.96.wav,VNEMOS,9.22,Nam,,,,Happiness
Copy of CCNA 00.06.46.12 - 00.06.49.79.wav,VNEMOS,6.4,Nam,,,,Happiness
Copy of CCNA 00.08.31.41 - 00.08.40.65.wav,VNEMOS,14.25,Nữ,,,,Happiness
Copy of CCNA 00.09.21.32 - 00.09.24.67.wav,VNEMOS,5.12,Nam,,,,Happiness
Copy of CCNA 00.19.32.23 - 00.19.40.96.wav,VNEMOS,17.6,Nam,,,,Happiness
Copy of Phim Chiếu Rạp - Tôi Thấy Hoa Vàng Trên Cỏ Xanh (2015) - Full HD-00.42.38.721-00.42.49.937-seg07.wav,VNEMOS,16.46,Nữ,,,,Happiness
Copy of Phim Chiếu Rạp - Tôi Thấy Hoa Vàng Trên Cỏ Xanh (2015) - Full HD-00.43.22.886-00.43.36.503-seg08.wav,VNEMOS,15.88,Nữ,,,,Happiness
Copy of Phim Chiếu Rạp - Tôi Thấy Hoa Vàng Trên Cỏ Xanh (2015) - Full HD-00.43.37.783-00.43.47.949-seg09.wav,VNEMOS,11.98,Nữ,,,,Happiness
Copy of Phim Chiếu Rạp - Tôi Thấy Hoa Vàng Trên Cỏ Xanh (2015) - Full HD-00.47.19.013-00.47.25.978-seg11.wav,VNEMOS,13.33,Nam,,,,Happiness
Copy of Phim Chiếu Rạp - Tôi Thấy Hoa Vàng Trên Cỏ Xanh (2015) - Full HD-00.48.11.426-00.48.18.706-seg13.wav,VNEMOS,12.61,Nữ,,,,Happiness
Copy of happi_mddx.wav,VNEMOS,9.5,Nam,,,,Happiness
Copy of happiness_hvtt 1.20-00.00.30.154-00.00.39.640-seg1.wav,VNEMOS,9.58,Nữ,,,,Happiness
Copy of happiness_hvtt 1.20-00.00.39.996-00.00.46.802-seg2.wav,VNEMOS,11.61,Nữ,,,,Happiness
Copy of happiness_hvtt 1.20-00.00.46.838-00.00.55.509-seg3.wav,VNEMOS,10.26,Nữ,,,,Happiness
Copy of happiness_hvtt 1.20-00.02.14.559-00.02.20.467-seg4.wav,VNEMOS,06.02,Nữ,,,,Happiness
Copy of happiness_hvtt 1.20-00.02.20.467-00.02.27.049-seg5.wav,VNEMOS,7.77,Nữ,,,,Happiness
Copy of happiness_hvtt 1.21-00.02.23.698-00.02.27.958-seg06.wav,VNEMOS,6.42,Nữ,,,,Happiness
Copy of happiness_hvtt 1.21-00.03.31.459-00.03.40.861-seg07.wav,VNEMOS,9.47,Nữ,,,,Happiness
Copy of happiness_hvtt 1.21-00.06.46.823-00.06.53.182-seg09.wav,VNEMOS,10.22,Nam,,,,Happiness
Copy of happiness_hvtt 1.21-00.06.53.480-00.07.00.059-seg10.wav,VNEMOS,7.47,Nam,,,,Happiness
Copy of happiness_hvtt 1.23-00.00.12.700-00.00.15.817-seg1.wav,VNEMOS,6.17,Nữ,,,,Happiness
Copy of happiness_hvtt 1.23-00.00.32.003-00.00.36.559-seg2.wav,VNEMOS,6.91,Nữ,,,,Happiness
Copy of happiness_hvtt 1.23-00.00.59.458-00.01.15.013-seg3.wav,VNEMOS,15.66,Nữ,,,,Happiness
Copy of happiness_hvtt 1.24-00.00.29.157-00.00.36.897-seg1.wav,VNEMOS,7.83,Nữ,,,,Happiness
Copy of happiness_hvtt 1.24-00.00.38.409-00.00.45.745-seg2.wav,VNEMOS,11.88,Nữ,,,,Happiness
Copy of happiness_hvtt 1.24-00.02.31.805-00.02.39.509-seg3.wav,VNEMOS,7.81,Nam,,,,Happiness
Copy of happiness_hvtt 1.24-00.02.41.947-00.02.47.147-seg4.wav,VNEMOS,5.29,Nam,,,,Happiness
Copy of happiness_hvtt 1.27-00.00.06.075-00.00.09.181-seg1.wav,VNEMOS,4.2,Nữ,,,,Happiness
Copy of happiness_hvtt 1.27-00.00.28.655-00.00.33.695-seg2.wav,VNEMOS,8.6,Nam,,,,Happiness
