Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
1037.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,4.16,,Anger
1050.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,4.42,,Anger
1069.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.58,,Anger
1083.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,8.51,,Anger
1112.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,6.46,,Anger
1213.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,4.42,,Anger
1230.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.22,,Anger
1310.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.97,,Anger
1356.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.26,,Anger
1374.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.46,,Anger
1399.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.26,,Anger
1483.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.14,,Anger
1497.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.97,,Anger
1529.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,8.38,,Anger
158.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.52,,Anger
1628.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,04.03,,Anger
1632.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,5.18,,Anger
1671.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.0,,Anger
168.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,03.07,,Anger
17.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,6.66,,Anger
1771.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,5.18,,Anger
1782.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.14,,Anger
1783.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,03.01,,Anger
1845.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.2,,Anger
1851.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.78,,Anger
2015.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.75,,Anger
2023.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,04.03,,Anger
2197.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.58,,Anger
2226.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.97,,Anger
2233.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.21,,Anger
225.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,04.03,,Anger
2269.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.9,,Anger
2296.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.52,,Anger
2315.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,4.42,,Anger
2420.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.78,,Anger
2693.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,4.48,,Anger
2712.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,05.06,,Anger
2842.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,6.4,,Anger
2857.wav,ViSEC,https://huggingface.co/datasets/hustep-lab/ViSEC,,,3.12,,Anger
